segment_index,time_hours,start_time_hours,end_time_hours,stage,dominant_emotion,bizarreness_score,lucidity_probability,is_lucid,generation_mode,llm_trigger_type,llm_latency_ms,llm_fallback_reason,template_bank,ach,serotonin,ne,cortisol,narrative,scene_description,active_memory_ids
cf07699b-a019-4f42-85f3-f20e884d5c23,0.158333,0.158333,0.166667,N2,neutral,0.432,0.0,False,TEMPLATE,,,,n2_any_01,0.471,0.3443,0.3027,0.3338,"At 0.158h, the environment shifts between partial storylines. The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough.",A neutral dreamscape at N2 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
46c09930-5bdb-4838-a64a-1aaaaa9829f8,0.166667,0.166667,0.175,N2,calm,0.425,0.0,False,TEMPLATE,,,,n2_neutral_01,0.4562,0.3028,0.2607,0.3274,"At 0.167h, familiar places merge into fragmented corridors. I move through stitched-together scenes where ordinary settings recur with slight distortions, as if memory is editing itself in place; the narrative advances in stable fragments, and.",A calm dreamscape at N2 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
e8a75d62-1945-471e-af16-967ae8b616f0,0.175,0.175,0.183333,N2,calm,0.445,0.0,False,TEMPLATE,,,,n2_any_01,0.4843,0.3278,0.2524,0.3278,"At 0.175h, voices and objects recombine before they settle. The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable.",A calm dreamscape at N2 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
cba62b54-bede-41a7-81c7-45f9d537f2c7,0.183333,0.183333,0.191667,N2,neutral,0.404,0.0,False,TEMPLATE,,,,n2_neutral_01,0.4423,0.3338,0.2678,0.3082,"At 0.183h, memory fragments overlap in unstable sequences. I move through stitched-together scenes where ordinary settings recur with slight distortions, as if memory is editing itself in place; the narrative advances in stable fragments, and.",A neutral dreamscape at N2 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
31248fd0-39fc-45fe-8b7a-f1e2dd628d56,0.191667,0.191667,0.2,N2,melancholic,0.432,0.0,False,TEMPLATE,,,,n2_any_01,0.4575,0.3426,0.3071,0.3393,"At 0.192h, the environment shifts between partial storylines. The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough.",A melancholic dreamscape at N2 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
127d78d1-8e29-4c7f-bd94-bca314b7f750,0.2,0.2,0.208333,N2,neutral,0.387,0.0,False,TEMPLATE,,,,n2_neutral_01,0.4867,0.3321,0.3164,0.3223,"At 0.200h, familiar places merge into fragmented corridors. I move through stitched-together scenes where ordinary settings recur with slight distortions, as if memory is editing itself in place; the narrative advances in stable fragments, and.",A neutral dreamscape at N2 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
c9e5ce16-6f0a-4a9b-a2c0-6849e9b0bd84,0.208333,0.208333,0.216667,N2,curious,0.384,0.0,False,TEMPLATE,,,,n2_any_01,0.4611,0.318,0.2874,0.3677,"At 0.208h, voices and objects recombine before they settle. The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable.",A curious dreamscape at N2 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
ea450063-506f-4d98-9694-2a6541de7172,0.216667,0.216667,0.225,N2,neutral,0.436,0.0,False,TEMPLATE,,,,n2_neutral_01,0.4247,0.3199,0.2756,0.3358,"At 0.217h, memory fragments overlap in unstable sequences. I move through stitched-together scenes where ordinary settings recur with slight distortions, as if memory is editing itself in place; the narrative advances in stable fragments, and.",A neutral dreamscape at N2 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
50d8d322-dcff-4f6f-b9c1-45e0a48c9d3c,0.225,0.225,0.233333,N2,calm,0.368,0.0,False,TEMPLATE,,,,n2_any_01,0.4462,0.33,0.2841,0.3267,"At 0.225h, the environment shifts between partial storylines. The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough.",A calm dreamscape at N2 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
135e9ad2-7794-472f-aa2d-4212531b0648,0.233333,0.233333,0.241667,N2,anxious,0.377,0.0,False,TEMPLATE,,,,n2_anxious_01,0.455,0.3353,0.2777,0.3009,"At 0.233h, familiar places merge into fragmented corridors. The dream keeps looping through nearly identical corridors, conversations, and clocks that never match, producing a persistent unease rather than panic; I keep trying to resolve small.",A anxious dreamscape at N2 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
96c2e80b-7323-497b-ad1a-4c81a58a3010,0.241667,0.241667,0.25,N2,neutral,0.442,0.0,False,TEMPLATE,,,,n2_neutral_01,0.4545,0.3715,0.2741,0.3342,"At 0.242h, voices and objects recombine before they settle. I move through stitched-together scenes where ordinary settings recur with slight distortions, as if memory is editing itself in place; the narrative advances in stable fragments,.",A neutral dreamscape at N2 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
03a6576b-6c7e-4ee4-bb8d-e2c1404dc686,0.25,0.25,0.258333,N2,curious,0.436,0.0,False,TEMPLATE,,,,n2_curious_01,0.4366,0.3196,0.3058,0.3435,"At 0.250h, memory fragments overlap in unstable sequences. Each location presents a puzzle disguised as routine detail, such as symbols on train maps, altered room layouts, or renamed objects; I follow these anomalies from scene.",A curious dreamscape at N2 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
3ad3d672-6e66-4b79-9a06-d60a9d496610,0.258333,0.258333,0.266667,N2,calm,0.365,0.0,False,TEMPLATE,,,,n2_any_01,0.4482,0.3209,0.2529,0.341,"At 0.258h, the environment shifts between partial storylines. The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough.",A calm dreamscape at N2 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
f4da2593-63b6-4883-b22d-53342a23b749,0.266667,0.266667,0.275,N2,calm,0.411,0.0,False,TEMPLATE,,,,n2_neutral_01,0.4397,0.3006,0.2676,0.3237,"At 0.267h, familiar places merge into fragmented corridors. I move through stitched-together scenes where ordinary settings recur with slight distortions, as if memory is editing itself in place; the narrative advances in stable fragments, and.",A calm dreamscape at N2 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
1f206b1b-b290-431d-a40d-256ffa32e7ec,0.275,0.275,0.283333,N2,anxious,0.412,0.0,False,TEMPLATE,,,,n2_any_01,0.437,0.3401,0.2889,0.3788,"At 0.275h, voices and objects recombine before they settle. The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable.",A anxious dreamscape at N2 depth.,mem::school_corridor|mem::falling|mem::being_chased|mem::being_late|mem::teeth_loosening
29bc3dfe-ad7c-4819-8f60-981ced94384b,0.283333,0.283333,0.291667,N2,neutral,0.384,0.0,False,TEMPLATE,,,,n2_neutral_01,0.4293,0.3457,0.2656,0.2755,"At 0.283h, memory fragments overlap in unstable sequences. I move through stitched-together scenes where ordinary settings recur with slight distortions, as if memory is editing itself in place; the narrative advances in stable fragments, and.",A neutral dreamscape at N2 depth.,mem::school_corridor|mem::falling|mem::being_chased|mem::being_late|mem::teeth_loosening
110e9151-b92c-423c-8c93-c73f66c9d1b8,0.291667,0.291667,0.3,N2,anxious,0.46,0.0,False,TEMPLATE,,,,n2_anxious_01,0.4535,0.3024,0.3093,0.3194,"At 0.292h, the environment shifts between partial storylines. The dream keeps looping through nearly identical corridors, conversations, and clocks that never match, producing a persistent unease rather than panic; I keep trying to resolve small.",A anxious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
90b96266-ae78-4374-a997-71871625d373,0.3,0.3,0.308333,N2,curious,0.457,0.0,False,TEMPLATE,,,,n2_any_01,0.4671,0.3634,0.2919,0.3181,"At 0.300h, familiar places merge into fragmented corridors. The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough.",A curious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
e011339c-b2a2-4be8-b61c-e12b62fe597d,0.308333,0.308333,0.316667,N2,neutral,0.385,0.0,False,TEMPLATE,,,,n2_neutral_01,0.4475,0.361,0.2934,0.3121,"At 0.308h, voices and objects recombine before they settle. I move through stitched-together scenes where ordinary settings recur with slight distortions, as if memory is editing itself in place; the narrative advances in stable fragments,.",A neutral dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
755a8f39-75c4-4972-b031-93d8064e7f6f,0.316667,0.316667,0.325,N2,calm,0.445,0.0,False,TEMPLATE,,,,n2_any_01,0.4398,0.3146,0.2748,0.3308,"At 0.317h, memory fragments overlap in unstable sequences. The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough.",A calm dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
c6df5042-84ca-4a75-a664-1b1f41306290,0.325,0.325,0.333333,N2,serene,0.397,0.0,False,TEMPLATE,,,,n2_serene_01,0.4332,0.3636,0.2648,0.3192,"At 0.325h, the environment shifts between partial storylines. A calm narrative unfolds through still air, soft light, and unhurried movement, with scenes transitioning like slow breaths; nothing demands urgency, and the dream's continuity feels dependable,.",A serene dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
9f9207b8-abbe-4d84-be23-db0e60502cbc,0.333333,0.333333,0.341667,N2,curious,0.383,0.0,False,TEMPLATE,,,,n2_curious_01,0.4186,0.3093,0.2941,0.3095,"At 0.333h, familiar places merge into fragmented corridors. Each location presents a puzzle disguised as routine detail, such as symbols on train maps, altered room layouts, or renamed objects; I follow these anomalies from scene.",A curious dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
66046f13-bcef-4f8c-bd8d-7fc0ea039c01,0.341667,0.341667,0.35,N2,calm,0.406,0.0,False,TEMPLATE,,,,n2_neutral_01,0.4728,0.3292,0.3057,0.3705,"At 0.342h, voices and objects recombine before they settle. I move through stitched-together scenes where ordinary settings recur with slight distortions, as if memory is editing itself in place; the narrative advances in stable fragments,.",A calm dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
5c9fd51c-0486-482c-9282-b069361238ad,0.35,0.35,0.358333,N2,calm,0.348,0.0,False,TEMPLATE,,,,n2_any_01,0.4604,0.319,0.2589,0.3314,"At 0.350h, memory fragments overlap in unstable sequences. The narrative stays moderately coherent, blending episodic memory traces with new associations so transitions feel logical within dream context; imagery remains softer than REM but stable enough.",A calm dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
551b5599-34ff-4c0d-8b96-4b865022c46f,0.358333,0.358333,0.366667,N2,joyful,0.47,0.0,False,TEMPLATE,,,,n2_joyful_01,0.4521,0.3311,0.3099,0.2966,"At 0.358h, the environment shifts between partial storylines. The dream offers bright, coherent moments across streets, rooms, and gatherings where each interaction feels welcoming and lightly magical; colors are richer than waking life, and even.",A joyful dreamscape at N2 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
1d6a7996-917c-48a2-b6fe-e5afee2e5e76,0.366667,0.366667,0.375,N3,curious,0.35,0.0,False,TEMPLATE,,,,n3_curious_01,0.2889,0.2183,0.1935,0.335,"At 0.367h, wordless imagery pulses through heavy darkness. Even in deep sleep, occasional odd structures appear briefly: geometric rooms, distant.",A curious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
fa1a120b-2177-4297-b1f3-340a3d4f6ec9,0.375,0.375,0.383333,N3,curious,0.35,0.0,False,TEMPLATE,,,,n3_any_01,0.2578,0.2377,0.2113,0.3083,"At 0.375h, slow symbolic flashes appear without clear sequence. The dream layer is diffuse and low-detail, prioritizing bodily depth over.",A curious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
168a820a-2a50-469c-8f67-246f0a8d03ba,0.383333,0.383333,0.391667,N3,calm,0.326,0.0,False,TEMPLATE,,,,n3_neutral_01,0.2806,0.2496,0.2477,0.2829,"At 0.383h, near-silent sensations drift and dissolve. Experience compresses into sparse sensations and broad, dark spaces where time is difficult.",A calm dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
6df9dbdd-aa37-46b7-af81-2fb8b5ca3130,0.391667,0.391667,0.4,N3,calm,0.341,0.0,False,TEMPLATE,,,,n3_any_01,0.2829,0.26,0.1741,0.3273,"At 0.392h, deep textures replace coherent plot structure. The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative.",A calm dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
c88a5874-5dae-4119-aece-bbf43b3838a2,0.4,0.4,0.408333,N3,neutral,0.35,0.0,False,TEMPLATE,,,,n3_neutral_01,0.281,0.2361,0.2,0.3383,"At 0.400h, wordless imagery pulses through heavy darkness. Experience compresses into sparse sensations and broad, dark spaces where time is.",A neutral dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
d6e3ca95-f90a-4e44-8b1f-36ac869c0bf6,0.408333,0.408333,0.416667,N3,calm,0.35,0.0,False,TEMPLATE,,,,n3_any_01,0.3163,0.2456,0.1656,0.2949,"At 0.408h, slow symbolic flashes appear without clear sequence. The dream layer is diffuse and low-detail, prioritizing bodily depth over.",A calm dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
fbd9f4bc-5144-425f-af16-b1d8c3634499,0.416667,0.416667,0.425,N3,calm,0.296,0.0,False,TEMPLATE,,,,n3_neutral_01,0.3009,0.2312,0.1981,0.3372,"At 0.417h, near-silent sensations drift and dissolve. Experience compresses into sparse sensations and broad, dark spaces where time is difficult.",A calm dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
bbb3db11-7364-489c-80d2-86904d6df709,0.425,0.425,0.433333,N3,curious,0.35,0.0,False,TEMPLATE,,,,n3_curious_01,0.2944,0.2256,0.1819,0.2966,"At 0.425h, deep textures replace coherent plot structure. Even in deep sleep, occasional odd structures appear briefly: geometric rooms, distant.",A curious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
18ceff6c-2c04-4721-9792-64233510aa53,0.433333,0.433333,0.441667,N3,curious,0.343,0.0,False,TEMPLATE,,,,n3_any_01,0.2635,0.2607,0.2061,0.2885,"At 0.433h, wordless imagery pulses through heavy darkness. The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative.",A curious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
cdd0d3a9-6541-4366-9713-ce8228fd0476,0.441667,0.441667,0.45,N3,calm,0.35,0.0,False,TEMPLATE,,,,n3_neutral_01,0.3344,0.2155,0.1884,0.3029,"At 0.442h, slow symbolic flashes appear without clear sequence. Experience compresses into sparse sensations and broad, dark spaces where time.",A calm dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
27b03a5c-13c9-4a49-81d7-a26fe20e498a,0.45,0.45,0.458333,N3,calm,0.29,0.0,False,TEMPLATE,,,,n3_any_01,0.2619,0.2604,0.2474,0.3197,"At 0.450h, near-silent sensations drift and dissolve. The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative complexity;.",A calm dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
065a2b3e-7a23-42f0-a4ca-fff8618894b2,0.458333,0.458333,0.466667,N3,neutral,0.35,0.0,False,TEMPLATE,,,,n3_neutral_01,0.3311,0.2227,0.1685,0.3188,"At 0.458h, deep textures replace coherent plot structure. Experience compresses into sparse sensations and broad, dark spaces where time is.",A neutral dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
7cd18e77-aed4-4632-8f12-ccd93c584b01,0.466667,0.466667,0.475,N3,joyful,0.35,0.0,False,TEMPLATE,,,,n3_any_01,0.3161,0.216,0.1928,0.3122,"At 0.467h, wordless imagery pulses through heavy darkness. The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative.",A joyful dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
c1f66272-e38d-48c6-a167-45e4170e7dbf,0.475,0.475,0.483333,N3,melancholic,0.35,0.0,False,TEMPLATE,,,,n3_melancholic_01,0.2714,0.2224,0.2089,0.3293,"At 0.475h, slow symbolic flashes appear without clear sequence. The dream stays dim and minimal, presenting isolated impressions of empty.",A melancholic dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
2a089b6a-b653-4a2f-83f1-d8e453c0778c,0.483333,0.483333,0.491667,N3,curious,0.35,0.0,False,TEMPLATE,,,,n3_curious_01,0.3186,0.2609,0.2223,0.3088,"At 0.483h, near-silent sensations drift and dissolve. Even in deep sleep, occasional odd structures appear briefly: geometric rooms, distant machinery,.",A curious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
9cebec81-3b9b-4a8f-b58d-4a12e86a1fb6,0.491667,0.491667,0.5,N3,neutral,0.35,0.0,False,TEMPLATE,,,,n3_any_01,0.3016,0.2639,0.1994,0.3039,"At 0.492h, deep textures replace coherent plot structure. The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative.",A neutral dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
242531cc-c0f7-49c4-8330-e0e704d9621c,0.5,0.5,0.508333,N3,joyful,0.313,0.0,False,TEMPLATE,,,,n3_joyful_01,0.2872,0.224,0.1657,0.3503,"At 0.500h, wordless imagery pulses through heavy darkness. Joy emerges as bodily ease and warmth more than story, with soft.",A joyful dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
ce71386e-c82d-4d7d-965a-d86a9b1467a8,0.508333,0.508333,0.516667,N3,melancholic,0.35,0.0,False,TEMPLATE,,,,n3_any_01,0.3236,0.2613,0.1817,0.321,"At 0.508h, slow symbolic flashes appear without clear sequence. The dream layer is diffuse and low-detail, prioritizing bodily depth over.",A melancholic dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
42ea0128-da4f-47ce-bef5-8eda1d3b757b,0.516667,0.516667,0.525,N3,calm,0.35,0.0,False,TEMPLATE,,,,n3_neutral_01,0.2925,0.2216,0.2094,0.3203,"At 0.517h, near-silent sensations drift and dissolve. Experience compresses into sparse sensations and broad, dark spaces where time is difficult.",A calm dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
f542a9c5-0484-4a9b-b1a0-65494aeeae62,0.525,0.525,0.533333,N3,neutral,0.35,0.0,False,TEMPLATE,,,,n3_any_01,0.3054,0.2693,0.178,0.2838,"At 0.525h, deep textures replace coherent plot structure. The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative.",A neutral dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
14c14e5b-4497-476c-9cbc-e5d3f5b4e829,0.533333,0.533333,0.541667,N3,calm,0.35,0.0,False,TEMPLATE,,,,n3_neutral_01,0.2979,0.2418,0.1664,0.3158,"At 0.533h, wordless imagery pulses through heavy darkness. Experience compresses into sparse sensations and broad, dark spaces where time is.",A calm dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
7d64c5b9-33c2-4244-a8c8-56567136231f,0.541667,0.541667,0.55,N3,anxious,0.35,0.0,False,TEMPLATE,,,,n3_anxious_01,0.2975,0.2555,0.2064,0.2839,"At 0.542h, slow symbolic flashes appear without clear sequence. An undercurrent of unease runs through thick, low-resolution imagery where details.",A anxious dreamscape at N3 depth.,mem::childhood_home|mem::school_corridor|mem::falling|mem::being_chased|mem::being_late
